Airline,Airline Delay,Air System Delay,Air Time,Arrival Delay,Arrival Time,Cancellation Reason,Cancelled,DAY,Day Of Week,Departure Delay,Departure Time,Destination Airport,Distance,Diverted,Elapsed Time,Flight Number,Late Aircraft Delay,Month,Number of Records,Origin Airport,Scheduled Arrival,Scheduled Departure,Scheduled Time,Security Delay,Tail Number,Taxi In,Taxi Out,Weather Delay,Wheels Off,Wheels On,Year
AS,,,169,-22,0408,,0,1/1/1900,4,-11,2354,SEA,1448,0,194,98,,1/1/1900,1,ANC,0430,0005,205,,N407AS,4,21,,0015,0404,2015
AA,,,263,-9,0741,,0,1/1/1900,4,-8,0002,PBI,2330,0,279,2336,,1/1/1900,1,LAX,0750,0010,280,,N3KUAA,4,12,,0014,0737,2015
US,,,266,5,0811,,0,1/1/1900,4,-2,0018,CLT,2296,0,293,840,,1/1/1900,1,SFO,0806,0020,286,,N171US,11,16,,0034,0800,2015
AA,,,258,-9,0756,,0,1/1/1900,4,-5,0015,MIA,2342,0,281,258,,1/1/1900,1,LAX,0805,0020,285,,N3HYAA,8,15,,0030,0748,2015
AS,,,199,-21,0259,,0,1/1/1900,4,-1,0024,ANC,1448,0,215,135,,1/1/1900,1,SEA,0320,0025,235,,N527AS,5,11,,0035,0254,2015
DL,,,206,8,0610,,0,1/1/1900,4,-5,0020,MSP,1589,0,230,806,,1/1/1900,1,SFO,0602,0025,217,,N3730B,6,18,,0038,0604,2015
NK,,,154,-17,0509,,0,1/1/1900,4,-6,0019,MSP,1299,0,170,612,,1/1/1900,1,LAS,0526,0025,181,,N635NK,5,11,,0030,0504,2015
US,,,228,-10,0753,,0,1/1/1900,4,14,0044,CLT,2125,0,249,2013,,1/1/1900,1,LAX,0803,0030,273,,N584UW,8,13,,0057,0745,2015
AA,,,173,-13,0532,,0,1/1/1900,4,-11,0019,DFW,1464,0,193,1112,,1/1/1900,1,SFO,0545,0030,195,,N3LAAA,3,17,,0036,0529,2015
DL,,,186,-15,0656,,0,1/1/1900,4,3,0033,ATL,1747,0,203,1173,,1/1/1900,1,LAS,0711,0030,221,,N826DN,5,12,,0045,0651,2015
DL,,,133,-30,0453,,0,1/1/1900,4,-6,0024,ATL,1199,0,149,2336,,1/1/1900,1,DEN,0523,0030,173,,N958DN,4,12,,0036,0449,2015
AA,,,238,-10,0753,,0,1/1/1900,4,-8,0027,MIA,2174,0,266,1674,,1/1/1900,1,LAS,0803,0035,268,,N853AA,7,21,,0048,0746,2015
DL,,,188,-4,0605,,0,1/1/1900,4,0,0035,MSP,1535,0,210,1434,,1/1/1900,1,LAX,0609,0035,214,,N547US,4,18,,0053,0601,2015
DL,,,176,-22,0553,,0,1/1/1900,4,-6,0034,ATL,1590,0,199,2324,,1/1/1900,1,SLC,0615,0040,215,,N3751B,5,18,,0052,0548,2015
DL,,,166,8,0557,,0,1/1/1900,4,-1,0039,MSP,1399,0,198,2440,,1/1/1900,1,SEA,0549,0040,189,,N651DL,4,28,,0107,0553,2015
AS,,,173,-14,0455,,0,1/1/1900,4,-4,0041,SEA,1448,0,194,108,,1/1/1900,1,ANC,0509,0045,204,,N309AS,4,17,,0058,0451,2015
DL,,,171,-24,0451,,0,1/1/1900,4,-14,0031,SEA,1448,0,200,1560,,1/1/1900,1,ANC,0515,0045,210,,N3743H,4,25,,0056,0447,2015
UA,,,199,-7,0619,,0,1/1/1900,4,-6,0042,IAH,1635,0,217,1197,,1/1/1900,1,SFO,0626,0048,218,,N78448,7,11,,0053,0612,2015
AS,,,187,-18,0507,,0,1/1/1900,4,-4,0046,PDX,1542,0,201,122,,1/1/1900,1,ANC,0525,0050,215,,N413AS,3,11,,0057,0504,2015
DL,,,171,-12,0551,,0,1/1/1900,4,-5,0045,MSP,1426,0,186,1670,,1/1/1900,1,PDX,0603,0050,193,,N806DN,6,9,,0054,0545,2015
NK,,,128,6,0543,,0,1/1/1900,4,25,0120,MCI,1139,0,143,520,,1/1/1900,1,LAS,0537,0055,162,,N525NK,4,11,,0131,0539,2015
AA,,,311,1,0939,,0,1/1/1900,4,-8,0052,MIA,2724,0,347,371,,1/1/1900,1,SEA,0938,0100,338,,N3GXAA,6,30,,0122,0933,2015
NK,,,128,-1,0529,,0,1/1/1900,4,-1,0102,DFW,1055,0,147,214,,1/1/1900,1,LAS,0530,0103,147,,N632NK,6,13,,0115,0523,2015
AA,,,255,-12,0839,,0,1/1/1900,4,-2,0103,MIA,2342,0,276,115,,1/1/1900,1,LAX,0851,0105,286,,N3CTAA,7,14,,0117,0832,2015
DL,,,150,-23,0545,,0,1/1/1900,4,-3,0102,MSP,1299,0,163,1450,,1/1/1900,1,LAS,0608,0105,183,,N671DN,2,11,,0113,0543,2015
UA,,,156,-11,0607,,0,1/1/1900,4,-3,0112,IAH,1379,0,175,1545,,1/1/1900,1,LAX,0618,0115,183,,N76517,8,11,,0123,0559,2015
AS,,,186,-3,0545,,0,1/1/1900,4,-8,0107,SEA,1533,0,218,130,,1/1/1900,1,FAI,0548,0115,213,,N457AS,7,25,,0132,0538,2015
NK,0,25,166,25,0607,,0,1/1/1900,4,12,0127,FLL,1487,0,220,597,0,1/1/1900,1,MSP,0542,0115,207,0,N528NK,40,14,0,0141,0527,2015
US,,,205,-31,0754,,0,1/1/1900,4,-10,0110,CLT,1916,0,224,413,,1/1/1900,1,LAS,0825,0120,245,,N571UW,7,12,,0122,0747,2015
AA,,,188,2,0709,,0,1/1/1900,4,21,0141,MIA,1709,0,208,2392,,1/1/1900,1,DEN,0707,0120,227,,N3HRAA,8,12,,0153,0701,2015
NK,0,43,156,43,0632,,0,1/1/1900,4,72,0237,ORD,1440,0,175,168,0,1/1/1900,1,PHX,0549,0125,204,0,N629NK,10,9,0,0246,0622,2015
AA,,,217,-16,0710,,0,1/1/1900,4,-11,0116,MIA,1972,0,234,2211,,1/1/1900,1,PHX,0726,0127,239,,N3CGAA,7,10,,0126,0703,2015
AS,,,,,,A,1,1/1/1900,4,,,SEA,1448,0,,136,,1/1/1900,1,ANC,0600,0135,205,,N431AS,,,,,,2015
DL,,,182,10,0725,,0,1/1/1900,4,-6,0134,ATL,1590,0,231,95,,1/1/1900,1,SLC,0715,0140,215,,N320US,6,43,,0217,0719,2015
NK,,,148,-4,0630,,0,1/1/1900,4,-4,0140,IAH,1222,0,170,298,,1/1/1900,1,LAS,0634,0144,170,,N514NK,12,10,,0150,0618,2015
HA,15,0,361,15,0610,,0,1/1/1900,4,0,0145,HNL,2762,0,385,17,0,1/1/1900,1,LAS,0555,0145,370,0,N389HA,8,16,0,0201,0602,2015
US,,,298,-10,0905,,0,1/1/1900,4,-9,0143,PHX,2552,0,322,617,,1/1/1900,1,ANC,0915,0152,323,,N804AW,3,21,,0204,0902,2015
UA,,,220,-11,0458,,0,1/1/1900,4,3,0157,EWR,1608,0,241,1528,,1/1/1900,1,SJU,0509,0154,255,,N76519,9,12,,0209,0449,2015
AS,,,170,-35,0558,,0,1/1/1900,4,-15,0140,SEA,1448,0,198,134,,1/1/1900,1,ANC,0633,0155,218,,N464AS,11,17,,0157,0547,2015
B6,,,231,11,0501,,0,1/1/1900,4,-2,0153,JFK,1598,0,248,304,,1/1/1900,1,SJU,0450,0155,235,,N607JB,5,12,,0205,0456,2015
NK,,,174,-33,0450,,0,1/1/1900,4,-16,0139,FLL,1334,0,191,451,,1/1/1900,1,PBG,0523,0155,208,,N633NK,7,10,,0149,0443,2015
NK,,,103,1,0503,,0,1/1/1900,4,-1,0158,DFW,868,0,125,972,,1/1/1900,1,PHX,0502,0159,123,,N606NK,11,11,,0209,0452,2015
AA,,,,,,B,1,1/1/1900,4,,,DFW,868,0,,2459,,1/1/1900,1,PHX,0500,0200,120,,N3BDAA,,,,,,2015
AS,,,182,-11,0619,,0,1/1/1900,4,-10,0150,PDX,1542,0,209,144,,1/1/1900,1,ANC,0630,0200,210,,N514AS,3,24,,0214,0616,2015
